index,artist,song,lyrics
477,XXXTentacion,Moonlight,"
Yeah


Spotlight, uh, moonlight, uh
Nigga, why you trippin'? Get your mood right, uh
Shawty look good in the moonlight
All these pussy niggas so bad mind
Spotlight, moonlight
Nigga, why you trippin'? Get your mood right
Shawty look good in the moonlight
All these pussy niggas so bad mind
Spotlight, uh, moonlight
Nigga, why you trippin'? Get your mood right, uh
Shawty look good in the moonlight
All these pussy niggas so bad mind
Spotlight, moonlight
Nigga, why you trippin'? Get your mood right
Shawty look good in the moonlight
All these pussy niggas so bad mind


Feel like I'm destined
I don't need no Smith & Wesson, no
Boy, who you testin'?
Fuck a Scantron, here's your lesson, oh
Knife in intestine
Takin' shots at all your brethren, no
Feel like I'm damaged
Girl I know you fucking planned this


All alone, call my phone, make me feel right
Girl you know when you call, make me feel right
All alone, call my phone, make me feel right
Girl you know when you call, make me feel right


Spotlight, uh, moonlight, uh
Nigga, why you trippin'? Get your mood right, uh
Shawty look good in the moonlight
All these pussy niggas so bad mind
Spotlight, moonlight
Nigga, why you trippin'? Get your mood right
Shawty look good in the moonlight
All these pussy niggas so bad mind
Spotlight, uh, moonlight
Nigga, why you trippin'? Get your mood right, uh
Shawty look good in the moonlight
All these pussy niggas so bad mind
Spotlight, moonlight
Nigga, why you trippin'? Get your mood right
Shawty look good in the moonlight
All these pussy niggas so bad mind"
478,The Weeknd,Call Out My Name,"
We found each other
I helped you out of a broken place
You gave me comfort
But falling for you was my mistake


I put you on top, I put you on top
I claimed you so proud and openly
And when times were rough, when times were rough
I made sure I held you close to me


So call out my name (call out my name)
Call out my name when I kiss you so gently
I want you to stay (want you to stay)
I want you to stay even though you don't want me
Girl, why can't you wait? (why can't you wait, baby?)
Girl, why can't you wait 'til I fall out of love?
Won't you call out my name? (call out my name)
Girl, call out my name, and I'll be on my way and
I'll be on my—


I said I didn't feel nothing, baby, but I lied
I almost cut a piece of myself for your life
Guess I was just another pit stop
'Til you made up your mind
You just wasted my time


You were on top, I put you on top
I claimed you so proud and openly, babe
And when times were rough, when times were rough
I made sure I held you close to me


So call out my name (call out my name, baby)
So call out my name when I kiss you so gently (ohh)
I want you to stay (I want you to stay)
I want you to stay even though you don't want me
Girl, why can't you wait? (girl, why can't you wait 'til I?)
Girl, why can't you wait 'til I fall out of loving?
Babe, call out my name (say call out my name, baby)
Just call out my name and I'll be on my way
Girl, I'll be on my—


On my way, all the way
On my way, all the way, ooh
On my way, on my way, on my way
On my way, on my way, on my way
(On my)"
479,"Tiesto, Dzeko, Preme & Post Malone",Jackie Chan,"
She say she's too young, don't want no man
So she gon' call her friends, now that's a plan
I just ordered sushi from Japan
Now your bitch wanna kick it, Jackie Chan


Drop top, how we rollin' down on Collins South Beach (Yeah)
Look like Kelly Rowland, this might be my destiny (Yeah)
She want me to eat it, I guess dinner's on me (I got you, babe)
Know I got the sauce like a fuckin' recipe (Ohh)
She just wanna do it for the 'Gram (You know, you know)
She just want this money in my hand (I know, you know)
I'ma give it to her when she dance, dance, dance (Ayy)
She gon' catch an Uber out to Calabasas


She say she's too young, don't want no man
So she gon' call her friends, now that's a plan
I just ordered sushi from Japan
Now your bitch wanna kick it, Jackie Chan
She say she's too young, don't want no man
So she gon' call her friends, now that's a plan
I just ordered sushi from Japan
Now your bitch wanna kick it, Jackie Chan
Now your bitch wanna kick it, Jackie Chan


I think you got the wrong impression 'bout me, baby ('Bout me, baby)
Just 'cause they heard what hood I’m from they think I'm crazy (They think I'm crazy)
Okay, well maybe just a little crazy (Just a little)
'Cause I admit I'm crazy 'bout that lady, yeah (Oh)
Finger to the world, it's fuck you, pay me (I been slavin')
Run the pussy 'cause I'm runnin' out of patience
No more waitin' no, no (Ayy)
Bouncin' like a yo-yo (Ayy)
Livin' life on fast forward but we fuck in slow mo', yeah


She say she's too young, don't want no man
So she gon' call her friends, now that's a plan
I just ordered sushi from Japan
Now your bitch wanna kick it, Jackie Chan
She say she's too young, don't want no man
So she gon' call her friends, now that's a plan
I just ordered sushi from Japan
Now your bitch wanna kick it, Jackie Chan
Now your bitch wanna kick it, Jackie Chan


I can't wait for the show, oh, oh
Got that good, yeah, I know, oh, oh
You should not be alone, oh, oh
All this drink got me throwed, oh, oh
Club got me right
And I feel so alive (Ayy)
She don't want a thing
She don't wanna be no wife (Ayy)
She just wanna stay all night
She just wanna sniff the white (Ayy)
Can't tell her nothing, no
Can't tell her nothing, no


She say she's too young, don't want no man
So she gon' call her friends, now that's a plan
I just ordered sushi from Japan
Now your bitch wanna kick it, Jackie Chan"
480,Luis Fonsi & Daddy Yankee,Despacito,"


Ay, ¡Fonsi! ¡D.Y.!
Ohhh, oh, no, oh, no, oh
¡Hey, yeah!
Dididiri Daddy, go!


Sí, sabes que ya llevo un rato mirándote
Tengo que bailar contigo hoy
(¡D.Y.!) Vi que tu mirada ya estaba llamándome
Muéstrame el camino que yo voy


¡Oh!
Tú, tú eres el imán y yo soy el metal
Me voy acercando y voy armando el plan
Sólo con pensarlo se acelera el pulso (¡Oh, yeah!)
Ya, ya me está gustando más de lo normal
Todos mis sentidos van pidiendo más
Esto hay que tomarlo sin ningún apuro


Despacito
Quiero respirar tu cuello despacito
Deja que te diga cosas al oído
Para que te acuerdes si no estás conmigo
Despacito
Quiero desnudarte a besos despacito
Firmo en las paredes de tu laberinto
Y hacer de tu cuerpo todo un manuscrito
(Sube, sube, sube, sube, sube)


Quiero ver bailar tu pelo, quiero ser tu ritmo (Woah, woah)
Que le enseñes a mi boca (Woah, woah)
Tus lugares favoritos (Favorito, favorito, baby)
Déjame sobrepasar tus zonas de peligro (Woah, woah)
Hasta provocar tus gritos (Woah, woah)
Y que olvides tu apellido


Si te pido un beso, ven, dámelo, yo sé que estás pensándolo
Llevo tiempo intentándolo, mami, esto es dando y dándolo
Sabes que tu corazón conmigo te hace bang-bang
Sabes que esa beba está buscando de mi bang-bang
Ven, prueba de mi boca para ver cómo te sabe
Quiero, quiero, quiero ver cuánto amor a ti te cabe
Yo no tengo prisa, yo me quiero dar el viaje
Empecemos lento, después salvaje


Pasito a pasito, suave suavecito
Nos vamos pegando, poquito a poquito
Cuando tú me besas con esa destreza
Veo que eres malicia con delicadeza
Pasito a pasito, suave suavecito
Nos vamos pegando, poquito a poquito
Y es que esa belleza es un rompecabezas
Pero pa' montarlo aquí tengo la pieza
¡Oye!


Despacito
Quiero respirar tu cuello despacito
Deja que te diga cosas al oído
Para que te acuerdes si no estás conmigo
Despacito
Quiero desnudarte a besos despacito
Firmo en las paredes de tu laberinto
Y hacer de tu cuerpo todo un manuscrito
(Sube, sube, sube, sube, sube)


Quiero ver bailar tu pelo, quiero ser tu ritmo (Woah, woah)
Que le enseñes a mi boca (Woah, woah)
Tus lugares favoritos (Favorito, favorito, baby)
Déjame sobrepasar tus zonas de peligro (Woah, woah)
Hasta provocar tus gritos (Woah, woah)
Y que olvides tu apellido


Despacito
Vamo' a hacerlo en una playa en Puerto Rico
Hasta que las olas griten ""¡Ay, Bendito!""
Para que mi sello se quede contigo
¡Báilalo!


Pasito a pasito, suave suavecito
Nos vamos pegando, poquito a poquito
Que le enseñes a mi boca
Tus lugares favoritos
(Favorito, favorito, baby)
Pasito a pasito, suave suavecito
Nos vamos pegando, poquito a poquito
Hasta provocar tus gritos (Fonsi)
Y que olvides tu apellido (D.Y.)
Despacito"
481,Kane Brown,Heaven,"
This is perfect
Come kiss me one more time
I couldn't dream this up
Even if I tried
You and me in this moment
Feels like magic, don't it?
I'm right where I wanna be


Everybody's talking about heaven like they just can't wait to go
Saying how it's gonna be so good, so beautiful
Lying next to you, in this bed with you, I ain't convinced
Cause, I don't know how, I don't know how heaven, heaven
Could be better than this


I swear you're an angel
Sent to this world
What did I do right to deserve you, girl?
I could stay here forever
I'd be fine if we never had to even leave this room


Everybody's talking about heaven like they just can't wait to go
Saying how it's gonna be so good, so beautiful
Lying next to you, in this bed with you, I ain't convinced
Cause, I don't know how, I don't know how heaven, heaven
Could be better than this
Could be better than this
Everybody's talking about heaven like they just can't wait to go
Saying how it's gonna be so good, so beautiful
Lying next to you, in this bed with you, I ain't convinced
Cause, I don't know how, I don't know how heaven, heaven
Could be better than this (heaven)
Could be better than this (heaven, heaven)


I swear this is perfect
Come kiss me one more time"
482,Ariana Grande,Breathin,"
Cigam gnihtemos od ot
Thgin laiceps ruoy s'thginot tub


Some days, things just take
Way too much of my energy
I look up and the whole room's spinning
You take my cares away
I can so over-complicate, people tell me to medicate


Feel my blood runnin', swear the sky's fallin'
I know that all this shit's fabricated
Time goes by and I can't control my mind
Don't know what else to try, but you tell me every time


Just keep breathin' and breathin' and breathin' and breathin'
And oh, I gotta keep, keep on breathin'
Just keep breathin' and breathin' and breathin' and breathin'
And oh, I gotta keep, keep on breathin'


Sometimes it's hard to find
Find my way up into the clouds
Tune it out, they can be so loud
You remind me of a time
When things weren't so complicated
All I need is to see your face


Feel my blood runnin', swear the sky's fallin'
I know that all this shit's fabricated
Time goes by and I can't control my mind
Don't know what else to try, but you tell me every time


Just keep breathin' and breathin' and breathin' and breathin'
And oh, I gotta keep, I keep on breathin'
Just keep breathin' and breathin' and breathin' and breathin'
And oh, I gotta keep, I keep on breathin', mmm, yeah


My, my air, my, my air
My, my air, my air
My, my air, my, my air
My, my air, yeah


Just keep breathin' and breathin' and breathin' and breathin'
And oh, I gotta keep, I keep on breathin'
Just keep breathin' and breathin' and breathin' and breathin'
And oh, I gotta keep, I keep on breathin', mmm, yeah


Feel my blood runnin', swear the sky's fallin'
I keep on breathin', oh yeah
Time goes by and I can't control my mind
I keep on breathin', mmm, yeah"
483,Halsey,Bad At Love,"
Got a boy back home in Michigan
And he tastes like Jack when I'm kissing him
So I told him that I never really liked his friends
Now he's gone and he's calling me a bitch again
There's a guy that lives in the garden state
And he told me that we'd make it 'til we graduate
So I told him that the music would be worth the wait
But he wants me in the kitchen with a dinner plate


I believe, I believe, I believe, I believe that we're meant to be
But jealousy, jealousy, jealousy, jealousy get the best of me
Look, I don't mean to frustrate, but I
Always make the same mistakes, yeah
Always make the same mistakes 'cause


I'm bad at love (Ooh-ooh)
But you can't blame me for tryin'
You know I'd be lyin' sayin'
You were the one (Ooh-ooh)
That could finally fix me
Lookin' at my history
I'm bad at love


Got a girl with California eyes
And I thought that she could really be the one this time
But I never got the chance to make her mine
Because she fell in love with little thin white lines
London girl with an attitude
We never told no one, but we look so cute
Both got way better things to do
But I always think about it when I'm riding through


I believe, I believe, I believe, I believe that I'm in too deep
And jealousy, jealousy, jealousy, jealousy get the best in me
Look, I don't mean to frustrate, but I
Always make the same mistakes, yeah
Always make the same mistakes 'cause


I'm bad at love (Ooh-ooh)
But you can't blame me for tryin'
You know I'd be lyin' sayin'
You were the one (Ooh-ooh)
That could finally fix me
Lookin' at my history
I'm bad at love


Oh, you know, you know, you know, you know
I'm bad at love (Ooh-ooh)
I'm bad at love (Ooh-ooh)


I know that you're afraid I'm gonna walk away
Each time the feeling fades
Each time the feeling fades
I know that you're afraid I'm gonna walk away
Each time the feeling fades


You know I'm bad at love (Ooh-ooh)
But you can't blame me for tryin'
You know I'd be lyin' sayin'
You were the one (Ooh-ooh)
That could finally fix me
Lookin' at my history
I'm bad at love (Ooh-ooh)


Oh, you know, you know, you know, you know
I'm bad at love (Ooh-ooh)
Oh, oh"
484,"Kodak Black, Travi$ Scott & Offset",Zeze,"
D.A. got that dope!


Ice water, turned Atlantic (Freeze)
Nightcrawlin' in the Phantom (Skrrt, Skrrt)
Told them hoes that don't you panic
Took an island, (Yeah) flood the mansion (Big water)
Dropped the roof, more expansion
Drive a coupe you can stand in (It's lit)
See the bitches undercover (In the sheets)
I'm an ass and titty lover (Big ass)
Guess we all made for each other
Now that all the dawgs free (Yeah, yeah)
And we out in these streets (Alright)
Can you do it, can you pop it for me?


Pull up in a Demon, on God (On God)
Lookin' like I still do fraud (Fraud)
Flyin' private jet with the rod (Rod)
This that Z shit, this that Z shit (This that Z shit)
Pull up in a Demon, on God (On God)
Lookin' like I still do fraud (Fraud)
Flyin' private jet with the rod (Rod)
This that Z shit, this that Z shit (This that Z shit)


Offset!
Blow the brains out the coupe (Boom)
Police wanna talk, but I'm on mute (Woo-woo, hey)
I'ma bust her wrist down 'cause she cute (Ice, ice)
Fuck her on a yacht, dive in a pool (Yeah)
She an addict (Addict), addict for the lifestyle and the Patek (Patek)
Big daddy, have you ever felt Chanel fabrics? (Chanel)
I be drippin' to death, I need a casket (Drippin')
And we got more stripes than the ref, he foul, TEC him (Bow, stripes)
In the middle of the field like David Beckham (Field, bow-bow)
All my niggas locked up, for real, I'm tryna help 'em (Free, free)
When I got a mil', got me the chills, don't know what happened (Hoo, chills)
Pop pills, do what you feel, I'm on that zombie (Hey, hoo)
I'm more like Gaddafi, I'm not no Gandhi (Gaddafi, hey)
I'm more like I'm David, Goliath runnin' (Hey, hey)
Niggas be clonin', I find it funny (Clone, haha)
We from the Nawf, straight out of the dungeon (We from the Nawf, hey)
I go in her mouth, she can't tell me nothin' (Eghck, eghck, egchk)
300, the watch is out of your budget (Woo, woo, 300)
Mean-muggin' got me clutchin'
Yeah, and this stick right out of Russia


Ice water, turned Atlantic (Freeze)
Nightcrawlin' in the Phantom (Skrrt, skrrt)
Told them hoes that don't you panic
Took an island, (Yeah) flood the mansion (Big water)
Dropped the roof, more expansion
Drive a coupe you can stand in (It's lit)
Bitches undercover (In the sheets)
I'm an ass and titty lover (Big ass)
Guess we all made for each other
Now that all the dawgs free (Yeah, yeah)
And we out in these streets (Alright)
Can you do it, can you pop it for me?


Pull up in a Demon, on God (On God)
Lookin' like I still do fraud (Fraud)
Flyin' private jet with the rod (Rod)
This that Z shit, this that Z shit (This that Z shit)
Pull up in a Demon, on God (On God)
Lookin' like I still do fraud (Fraud)
Flyin' private jet with the rod (Rod)
This that Z shit, this that Z shit (This that Z shit)


In a Hellcat 'cause I'm a hell-raiser
Self-made, I don't owe a nigga nann favor
When you get that money, nigga, keep your heart
I'm slidin' in a coupe, ain't got no key to start
I got the fire on me in BET Awards
When your well run dry, you know you need me for it
When I pull up in the Buick, you know what I'm doin'
If the police get behind me, I'm fleein' and eludin'
Sleepin' on the palette turned me to a savage
I'm a project baby, now I stay in Calabasas
Like I still serve fiends, like I'm still jackin'
I be sippin' on lean, tryna keep balance
Hit that Z-Walk, Dickie's with my Reeboks
I don't say much, I just let the heat talk
Your jewelry water whip, diamonds like re-rock
My lil' baby ride the dick like a seesaw
When I stepped up on the scene, I was on a bean
When I jumped up out the Beam', I was in Celine
Baby girl, you just a fling, that ain't what I mean
Money bustin' out my jeans like I do the scheme


Pull up in a Demon, on God (On God)
Lookin' like I still do fraud (Fraud)
Flyin' private jet with the rod (Rod)
This that Z shit, this that Z shit (This that Z shit)
Pull up in a Demon, on God (On God)
Lookin' like I still do fraud (Fraud)
Flyin' private jet with the rod (Rod)
This that Z shit, this that Z shit (This that Z shit)


Uh-huh, ha, oh-ah-oh
Uh-huh, ha, oh-ah-oh
Uh-huh, ha, oh-ah-oh
Uh-huh, ha, oh-ah-oh"
485,Rich The Kid,Plug Walk,"
Ayy, ayy (TheLabCook)


Plug walk (plug walk, plug, plug)
I don't even understand how the fuck my plug talk
(Huh? what, what?)
Pick him up in a space coupe, I don't let my plug walk
(Skrrt, pull up in a space coupe)
New freak, had to cut my other lil' bitch off (ooh, ooh, lil' bitch)
50K, you could come and book a nigga for a plug walk


You can't reach me (what?)
Space coupe like E.T. (E.T.)
It's the plug tryna call me (skrrt, skrrt)
I was up trappin' early in the morning (plug)
Ooh, on the wave like a du-rag (du-rag)
Pussy nigga callin' for his boo back (pussy)
Plug walk, Gucci on my shoe racks (Gucci)
Walk up in the house, hit a rat-a-tat
'Til I ran into the plug ('til I ran into) 'til I ran into the mud (to the mud)
I done ran into some racks, I done ran into your girl ( 'to your girl)
Why the plug show me love? (Show me love)
I done came up from a dub (huh?)


Plug walk (plug walk, plug, plug)
I don't even understand how the fuck my plug talk
(Huh? what, what?)
Pick him up in a space coupe, I don't let my plug walk
(Skrrt, pull up in a space coupe)
New freak, had to cut my other lil' bitch off (ooh, ooh, lil' bitch)
50K, you could come and book a nigga for a plug walk


Big ol' Bentley, it's a spaceship (woah)
Call me on my phone, I don't say shit (what?)
I make money when I talk (when I talk)
I'm a boss, take a loss (I'm a what?)
I could introduce you to the plug (to the plug)
Bitch, this ain't no Henny in my cup (lil' bitch)
Stayed down, now the racks up (racks up)
She gon' let me fuck, ass up (ass up)
Plug, I stuck kis in the Louis V (Louis V)
Fuck 12, I’m a G, ain't no stoppin' me (ain't no stoppin' me)
And my wrist is on overseas (drip)
Rich nigga, you can't talk to me (rich)


Ayy, plug walk (plug walk, plug, plug)
I don't even understand how the fuck my plug talk
(Huh? what, what?)
Pick him up in a space coupe, I don't let my plug walk
(Skrrt, pull up in a space coupe)
New freak, had to cut my other lil' bitch off (ooh, ooh, lil' bitch)
50K, you could come and book a nigga for a plug walk"
486,Daddy Yankee,Dura,"


(Me gusta mi reggae)
Tiritiritiririti-Daddy
(E-E-E-E-Evo Jedis)


Cuando yo la vi
Dije, ""Si esa mujer fuera para mí""
Perdóname, te lo tenía que decir


'Tás dura, dura
Dura, dura, dura
Que estás dura, mano arriba porque tú te ves bien
'Tás dura, mamacita, te fuiste de nivel
Dura, mira como brilla tu piel
'Tás dura, dímelo, dímelo, ¿cómo es que e'?
'Tás dura, yo te doy un veinte de diez
'Tás dura, dura, dura


Tú eres la máquina, la máquina de baile
Si no tiene' a nadie vente pa' mi' brazos, caile
Ese perfume se siente en el aire
Algo como Argentina, tú me traes los Buenos Aires
'Tá poderosa, media escandalosa
Habrán muchas mujeres pero tú eres otra cosa
Si fuera un delito eso de que estás hermosa
Te arresto en mi cama y te pongo las esposas
Tienes el toque, toque, toque
Miren el material, edición especial
Tienes el toque, toque, toque
Perdóname, te lo tenía que decir


'Tás dura, dura
Dura, dura, dura
Que estás dura, mano arriba porque tú te ves bien
'Tás dura, mamacita, te fuiste de nivel
Dura, mira como brilla tu piel
'Tás dura, dímelo, dímelo, ¿cómo es que e'?
'Tás dura, yo te doy un veinte de diez
'Tás dura, dura, dura


Me gusta como mueve ese ram-pam-pam
Mi mente maquineando en un plan-plan-plan
Si me deja, en esa curva le doy pam-pam
Cuál es tu receta no sé, 'tás pa' comerte bien
Me gusta como mueve ese ram-pam-pam
Mi mente maquineando en un plan-plan-plan
Si me deja, en esa curva le doy pam-pam
Tu belleza retumba, las otras pa' la tumba


Uno, dos y tres, vamo' a darle, la envidia que se calle
Saludos a to'as las nenas que paralizan la calle
¿Cómo tú te llamas? ¿de dónde tú eres?
Dame el número pa' entrar contigo en detalles
Y tienes el toque, toque, toque
Pareces una estrella formando el alboroto
Tienes el toque, toque, toque
Se cae el internet cuando subes una foto


Cuando yo la vi (Dímelo, baby girl)
Dije: ""Si esa mujer fuera para mí"" (Pa' mí esa baby)
Perdóname, te lo tenía que decir


'Tás dura, dura
Dura, dura, dura
Que estás dura, mano arriba porque tú te ves bien
'Tás dura, mamacita, te fuiste de nivel
Dura, mira como brilla tu piel
'Tás dura, dímelo, dímelo, ¿cómo es que e'?
'Tás dura, yo te doy un veinte de diez
'Tás dura, dura, dura


Tú tienes el size, otra como tú mami no hay
Pégate, dale boom bye bye
Que tú tienes el size, otra como tú mami no hay
Pégate, dale boom bye bye
Que tú tienes el size, otra como tú mami no hay
Pégate, dale boom bye bye
Que tú tienes el size, otra como tú mami no hay
Pégate, dale boom bye bye, yep, yeah


Retumbando las bocinas de seguro
Dirili-Daddy Yankee y el Disco Duro
Urba & Rome
Que pa' esta liga no se asomen
Dura, dura, dura
DY
Blaze
(Evo Jedis)"
487,Cardi B & 21 Savage,Bartier Cardi,"
Bardi in a 'Rari, diamonds all over my body
(30, you a fool for this one)
Shinin' all over my body
Bardi, put that lil' bitch on molly, Bardi!
Bitch on Molly (Cheeze)
21, diamonds all over my body
Fucked that bitch on molly (KSR)
Ask him if I'm 'bout it


Your bitch wanna party with Cardi
Cartier Bardi in a 'Rari (21)
Diamonds all over my body (Cardi)
Shinin' all over my body (my body)
Cardi got your bitch on molly
Bitch, you ain't gang, you lame
Bentley truck lane to lane, blow out the brain (21)
I go insane, insane
I drop a check on the chain, fuck up a check in the Flame
Cardi took your man, you upset, uh
Cardi got rich, they upset, yeah (from what?)
Cardi put the pussy on Offset (say what?)
Cartier, Cardi B brain on Offset (21)
Cardi took your man, you upset, uh
Cardi got rich, they upset, yeah (21)
Cardi put the pussy on Offset (Cardi)
Cartier, Cardi B brain on Offset (who's Cardi?)


Who get this motherfucker started? (Cardi)
Who took your bitch out to party? (Cardi)
I took your bitch and departed (Cardi)
Who that be fly as a Martian? (Cardi)
Who that on fleek in the cut? (Cardi)
Who got the bricks in the truck? (Cardi)
Them diamonds gon' hit like a bitch on a bitchy ass bitch
Bitch, you a wannabe Cardi
Red bottom MJ, moonwalk on a bitch
Moonwalkin' through your clique
I'm moonwalkin' in the 6
Sticky with the kick, moonrocks in this bitch
I'm from the motherfuckin' Bronx (Bronx)
I keep the pump in the trunk (trunk)
Bitch, if you bad then jump (jump)
Might leave your bitch in a slump (your back)


Your bitch wanna party with Cardi
Cartier Bardi in a 'Rari (21)
Diamonds all over my body (Cardi)
Shinin' all over my body (my body)
Cardi got your bitch on molly
Bitch, you ain't gang, you lame
Bentley truck lane to lane, blow out the brain (21)
I go insane, insane
I drop a check on the chain, fuck up a check in the Flame
Cardi took your man, you upset, uh
Cardi got rich, they upset, yeah (from what?)
Cardi put the pussy on Offset (say what?)
Cartier, Cardi B brain on Offset (21)
Cardi took your man, you upset, uh
Cardi got rich, they upset, yeah (21)
Cardi put the pussy on Offset (Cardi)
Cartier, Cardi B brain on Offset


Your bitch wanna party with a Savage (21)
Saint Laurent Savage in an Aston (yeah)
High end cars and fashion (21)
I don't eat pussy, I'm fastin' (on God)
I'm a Blood, my brother Crippin'
Bitch, I'm drippin', ho, you trippin'
Told the waitress, I ain't tippin'
I like hot sauce on my chicken (on God)
I pulled the rubber off and I put hot sauce on her titties (21)
I'm in a Bentley truck, she keep on suckin' like it's tinted (21)
All these VVSs, nigga, my sperm worth millions (on God)
The bitch so bad, I popped a Molly 'fore I hit it (21, 21)


Your bitch wanna party with Cardi
Cartier Bardi in a 'Rari (21)
Diamonds all over my body (Cardi)
Shinin' all over my body (my body)
Cardi got your bitch on molly
Bitch, you ain't gang, you lame
Bentley truck lane to lane, blow out the brain (21)
I go insane, insane
I drop a check on the chain, fuck up a check in the Flame
Cardi took your man, you upset, uh
Cardi got rich, they upset, yeah (from what?)
Cardi put the pussy on Offset (say what?)
Cartier, Cardi B brain on Offset (21)
Cardi took your man, you upset, uh
Cardi got rich, they upset, yeah (21)
Cardi put the pussy on Offset (Cardi)
Cartier, Cardi B brain on Offset (who's Cardi?)


Step in this bitch in Givenchy (cash)
Fuck up a check in Givenchy (cash)
Boss out the coupe and them inches
I fuck up a bag at the Fendi, I fuck up a bag in a minute
Who you know drip like this?
Who you know built like this?
I'm poppin' shit like a dude
Pull up to pop at your crew, brrrt, poppin' at you (woo)
They say you basic, I flooded the Rollie with diamonds
I flooded the Patek and bracelet
I got your bitch and she naked
Ice on the cake when I bake it
I'm switchin' lanes in the Range
Swap out the dick for the brain
Swap out your bitch for your main
Swap out the trap for the fame
Ice on them Cardi B Cartier frames, bitch


Your bitch wanna party with Cardi
Cartier Bardi in a 'Rari (21)
Diamonds all over my body (Cardi)
Shinin' all over my body (my body)
Cardi got your bitch on molly
Bitch, you ain't gang, you lame
Bentley truck lane to lane, blow out the brain (21)
I go insane, insane
I drop a check on the chain, fuck up a check in the Flame
Cardi took your man, you upset, uh
Cardi got rich, they upset, yeah (from what?)
Cardi put the pussy on Offset (say what?)
Cartier, Cardi B brain on Offset (21)
Cardi took your man, you upset, uh
Cardi got rich, they upset, yeah (21)
Cardi put the pussy on Offset (Cardi)
Cartier, Cardi B brain on Offset (who's Cardi?)"
488,Charlie Puth,How Long,"
Alright
Ooh, yeah


I'll admit, I was wrong, what else can I say, girl?
Can't you blame my head and not my heart?
I was drunk, I was gone, that don't make it right, but
Promise there were no feelings involved, mmh


She said, ""Boy, tell me honestly
Was it real or just for show?"", yeah
She said, ""Save your apologies
Baby, I just gotta know


How long has this been goin' on?
You've been creepin' 'round on me
While you're callin' me ""baby""
How long has this been goin' on?
You've been actin' so shady (shady)
I've been feelin' it lately, baby""


Ooo-oh (yeah)
Ooo-oh (encore)
Oooh-ooh-oh


I'll admit, it's my fault, but you gotta believe me
When I say it only happened once, mmm
I try, and I try, but you'll never see that
You're the only one I wanna love, oh, yeah


She said ""Boy, tell me honestly""
""Was it real or just for show?"", yeah
She said, ""Save your apologies""
""Baby, I just gotta know


How long has this been goin' on?
You've been creepin' 'round on me
While you're callin' me ""baby""
How long has this been goin' on?
You've been actin' so shady
I've been feelin' it lately, baby""


Ooo-oh (yeah)
Ooo-oh (encore)
Oooh-ooh-oh
How long has it been goin' on, baby?
Ooo-oh (yeah)
Ooo-oh, you gotta go tell me now
Oooh-ooh-oh


She said, ""Boy, tell me honestly
Was it real or just for show?"", yeah
She said, ""Save your apologies
Baby, I just gotta know


How long has this been goin' on?
And you' been creepin' 'round on me
While you're callin' me ""baby""
How long has this been goin' on?
You've been actin' so shady
I've been feelin' it lately, baby""


(Ooo-oh, yeah)
How long has this been goin' on?
(Ooh, encore)
You've been creepin' 'round on me
(Oooh-ooh-oh)
How long has it been goin' on, baby? Oh
(Ooo-oh)
How long has this been goin' on?
(Ooh, encore)
(You gotta go tell me now)
(Oooh-ooh-oh)
You've been actin' so shady
I've been feelin' it lately, baby"
489,Sheck Wes,Mo Bamba,"
16yrold
Bitch!
Daytrip took it to 10


I got hoes
Callin' a young nigga phone (Ring, ring)
Where's Ali with the mothafuckin' dope? (Bitch, bitch)
I be ballin' like a mothafuckin' pro (Like a, huh, like a, huh)
I be ballin' like my nigga Mo (Bamba, bitch)
Sheck Wes, I ain't a mothafuckin' joke (Haha, hahahahaha)
Steph Wes, stay with the fuckin' pole (Pa, pa, pa-pa)
You fuck around and get poled (You get poled, bitch)
'Cause I got hoes (So many fuckin' hoes)
Callin' a young nigga phone
(Ring-ring, ring, ring-ring, ring, ring-ring)
Where's Ali with the (Bitch with the) mothafuckin' dope? (Huh)
I be ballin' like a mothafuckin' pro (Like a mothafuckin' pro)
I be ballin' like my nigga Mo (Bamba, Bamba)
Sheck Wes got so many flows (I do it all)
Call me Drake, how a nigga contro—


Oh! Fuck! Shit! Bitch! (Huh)
Yeah, it's Sheck Wes and I'm gettin' really rich (Ching-ching)
See how I caught it 'cause I'm really with the shits (Ping-ping)
See me in the streets and I be really with a (Cling, cling), with a
Bad bitch (Bitch), niggas straight rockin' (Rock)
Niggas straight see me, when they see me, they be coppin' (What?)
I'm the best drug dealer, nigga, come and cop it  (Got it)
Young Sheck Wes, I'm like the fuckin' Green Goblin (Hahahaha)


I got hoes (Hoes, ho)
Callin' a young nigga phone, phone (Bitch)
Where's Ali with the mothafuckin' dope?
(With the mothafuckin' dope)
Dope (With the mothafuckin' dope)
With the mothafuckin' dope (Bitch)
With the dope (Gettin' rich), with my bros (Bitch, shit)
I fucked your ho (Shit)
And she ain't even let you know (Shit fucked up)


Damn, this nigga nice, fuck is you talking about?
('Cause I got) Bitch (Hoes)
And my nigga One-Six, my nigga
Ali, the Daytrip nigga, fuck is niggas talking about?
(I got hoes, shit
Young Sheck Wes, I do it on the go)
Uh, woah, uh"
