,0,1,2
76,Drake,Controlla,"[Verse 1: Drake]
Right, my yiy just changed
You just buzzed the front gate
I thank God you came
How many more days could I wait?
I made plans with you
And I won't let 'em fall through
I, I, I, I, I

[Hook: Drake]
I think I'd lie for you
I think I'd die for you
Jodeci ""Cry for You""
Do things when you want me to
Like controlla, controlla, yeah
Like controlla, controlla, yeah

[Verse 2: Drake]
Okay, you like it, when I get
Aggressive, tell you to
Go slower, go faster
Like controlla, controlla, yeah
Like controlla, controlla, yeah

[Bridge: Drake]
And I’m never on a waste ting, shawty
I do it how you say you want it
Them girls, they just wanna take my money
They don't want me to give you nothing
They don't want you to have nothing
They don't wanna see me find your lovin'
They don't wanna see me
Smiling back when they pree

[Hook: Drake]
Knowing I'd lie for you
Thinking I'd die for you
Jodeci ""Cry for You""
Do things when you want me to
Like controlla, controlla, yeah
Like controlla, controlla, yeah

[Break: Beenie Man]
Gyal a tear off mi garments
And a bawl fi come inna mi apartment (Woi!)
Di gyal dem want di length and strength
Action speak louder than argument well

[Verse 3: Drake]
But you can't just diss and come tell man sorry
You can't listen to me talk and go tell my story, nah
It don't work like that when you love somebody
My old flex is my new flex now and we're workin' on it, yeah
And that's why I need
All the energy that you bring to me
My last girl would tear me apart
But she'd never wanna split a ting with me

[Hook: Drake]
But when it comes to you, you
I think I'd lie for you
I think I'd die for you
Do things when you want me to
Like controlla, controlla, yeah
Like controlla, controlla, yeah

[Bridge: Drake]
And I’m never on a waste ting shawty
I do it how you say you want it
Them girls, they just wanna take my money
They don't want me to give you nothing
They don't want you to have nothing
They don't wanna see me find your lovin'
They don't wanna see me
Smiling back when they pree (Jheeze!)

[Outro: Beenie Man]
Music a drop!
Gyal a whine up dem bumpa
Dis is di summa summa controlla
Drake from Canada, Beenie Man from Jamaica
Dah one yah a murda—Zagga!"
77,Drake,Hotline Bling,"[Intro]
You used to call me on my
You used to, you used to
Yeah

[Chorus]
You used to call me on my cell phone
Late night when you need my love
Call me on my cell phone
Late night when you need my love
And I know when that hotline bling
That can only mean one thing
I know when that hotline bling
That can only mean one thing

[Verse 1]
Ever since I left the city, you
Got a reputation for yourself now
Everybody knows and I feel left out
Girl, you got me down, you got me stressed out
‘Cause ever since I left the city, you
Started wearing less and goin' out more
Glasses of champagne out on the dance floor
Hangin' with some girls I've never seen before

[Chorus]
You used to call me on my cell phone
Late night when you need my love
Call me on my cell phone
Late night when you need my love
I know when that hotline bling
That can only mean one thing
I know when that hotline bling
That can only mean one thing

[Verse 2]
Ever since I left the city, you, you, you
You and me, we just don't get along
You make me feel like I did you wrong
Going places where you don't belong
Ever since I left the city, you
You got exactly what you asked for
Running out of pages in your passport
Hangin' with some girls I've never seen before

[Chorus]
You used to call me on my cell phone
Late night when you need my love
Call me on my cell phone
Late night when you need my love
And I know when that hotline bling
That can only mean one thing
I know when that hotline bling
That can only mean one thing

[Bridge]
These days, all I do is
Wonder if you're bendin' over backwards for someone else
Wonder if you're rolling up a Backwoods for someone else
Doing things I taught you, gettin' nasty for someone else
You don't need no one else
You don't need nobody else, no
Why you never alone?
Why you always touching road?
Used to always stay at home
Be a good girl, you was in the zone
Yeah, you should just be yourself
Right now, you're someone else

[Chorus]
You used to call me on my cell phone
Late night when you need my love
Call me on my cell phone
Late night when you need my love
And I know when that hotline bling
That can only mean one thing
I know when that hotline bling
That can only mean one thing

[Outro]
Ever since I left the city…

[Produced by Nineteen85]"
78,Imany,Don't Be So Shy (Filatov & Karas Remix),"[Verse 1]
Take a breath, rest your head
Close your eyes, you’re alright
Just lay down to my side
Do you feel my heat on your skin

[Chorus]
Take off your clothes, blow out the fire
Don’t be so shy, you’re alright, you’re alright
Take off my clothes. Oh, bless me, father
Don’t ask me why, you’re alright, you’re alright

[Verse 2]
Home I stay, I’m in, come in
Can you feel my hips in your hands
And I’m laying down by your side
I taste the sweet of your skin

[Chorus]
Take off your clothes, blow out the fire
Don’t be so shy, you’re alright, you’re alright
Take off my clothes. Oh, bless me, father
Don’t ask me why, you’re alright, you’re alright

[Interlude]
Don’t be so shy

[Verse 3]
In my heart dress raised so much faster
I’ve drawn myself in holy water
And both my eyes just got so much brighter
And I saw God, oh, yeah, so much closer

[Bridge]
In the dark I see your smile
Do you feel my heat on my skin

[Chorus]
Take off your clothes, blow out the fire
Don’t be so shy, you’re alright, you’re alright
Take off my clothes. Oh, bless me, father
Don’t ask me why, you’re alright, you’re alright
Take off my clothes, blow out the fire
Don’t be so shy, you’re all right, you’re all right
Take off my clothes and bless me further
Don’t ask me why, don’t ask me why, don’t ask me why

[Outro]
Don’t be so shy
Don’t be so shy"
79,Ariana Grande,Dangerous Woman,"[Verse 1]
Don't need permission
Made my decision to test my limits
'Cause it's my business, God as my witness
Start what I finished
Don't need no hold up
Taking control of this kind of moment
I'm locked and loaded
Completely focused, my mind is open

[Pre-Chorus]
All that you got
Skin to skin, oh my God
Don't you stop, boy

[Chorus]
Somethin' 'bout you makes me feel like a dangerous woman
Somethin' 'bout, somethin' 'bout, somethin' 'bout you
Makes me wanna do things that I shouldn't
Somethin' 'bout, somethin' 'bout, somethin' 'bout

[Verse 2]
Nothing to prove and I'm bulletproof and
Know what I'm doing
The way we're movin'
Like introducing us to a new thing
I wanna savor, save it for later
The taste, the flavor, 'cause I'm a taker, 'cause I'm a giver
It's only nature, I live for danger

[Pre-Chorus]
All that you got
Skin to skin, oh my God
Don't ya stop, boy

[Chorus]
Somethin' 'bout you makes me feel like a dangerous woman
Somethin' 'bout, somethin' 'bout, somethin' 'bout you
Makes me wanna do things that I shouldn't
Somethin' 'bout, somethin' 'bout, somethin' 'bout you

[Post-Chorus]
All girls wanna be like that
Bad girls underneath, like that
You know how I'm feeling inside
Somethin' 'bout, somethin' 'bout
All girls wanna be like that
Bad girls underneath, like that
You know how I'm feeling inside
Somethin' 'bout, somethin' 'bout

[Instrumental bridge]

[Chorus]
Somethin' 'bout you makes me feel like a dangerous woman
Somethin' 'bout, somethin' 'bout, somethin' 'bout you
Makes me wanna do things that I shouldn't
Somethin' 'bout, somethin' 'bout, somethin' 'bout you

[Post-Chorus]
All girls wanna be like that
Bad girls underneath like that
You know how I'm feeling inside
Somethin' 'bout, somethin' 'bout
All girls wanna be like that
Bad girls underneath like that
You know how I'm feeling inside
Somethin' 'bout, somethin' 'bout

[Outro]
Yeah, there's somethin' 'bout you boy
Yeah, there's somethin' 'bout you boy
Yeah, there's somethin' 'bout you boy
Yeah, there's somethin' 'bout you boy
(Somethin' 'bout, somethin' 'bout, somethin' 'bout you)
Yeah, there's somethin' 'bout you boy
Yeah, there's somethin' 'bout you boy
Yeah, there's somethin' 'bout you boy
Yeah, there's somethin' 'bout you boy
(Somethin' 'bout, somethin' 'bout, somethin' 'bout you)"
80,Ariana Grande & Nicki Minaj,Side To Side,"[Intro: Ariana Grande & Nicki Minaj]
I've been here all night (Ariana)
I've been here all day (Nicki Minaj)
And boy, got me walkin' side to side (Let them hoes know)

[Verse 1: Ariana Grande]
I'm talkin' to ya
See you standing over there with your body
Feeling like I wanna rock with your body
And we don't gotta think 'bout nothin' ('Bout nothin')
I'm comin' at ya
'Cause I know you got a bad reputation
Doesn't matter, 'cause you give me temptation
And we don't gotta think 'bout nothin' ('Bout nothin')

[Pre-Chorus: Ariana Grande]
These friends keep talkin' way too much
Say I should give you up
Can't hear them, no, 'cause I…

[Chorus: Ariana Grande]
I've been here all night
I've been here all day
And boy, got me walkin' side to side
I've been here all night
I've been here all day
And boy, got me walkin' side to side (Side to side)

[Verse 2: Ariana Grande]
Been tryna hide it
Baby, what's it gonna hurt if they don't know?
Makin' everybody think that we solo
Just as long as you know you got me (You got me)
And boy, I got ya
'Cause tonight I'm making deals with the devil
And I know it's gonna get me in trouble
Just as long as you know you got me

[Pre-Chorus: Ariana Grande]
These friends keep talkin' way too much
Say I should give you up
Can't hear them, no, 'cause I…

[Chorus: Ariana Grande]
I've been here all night
I've been here all day
And boy, got me walkin' side to side (Side to side)
I've been here all night (Been here all night, baby)
I've been here all day (Been here all day, baby)
And boy, got me walkin' side to side (Side to side)

[Refrain: Nicki Minaj]
This the new style with the fresh type of flow
Wrist icicle, ride dick bicycle
Come through yo, get you this type of blow
If you wanna Minaj, I got a tricycle

[Verse 3: Nicki Minaj]
All these bitches' flows is my mini-me
Body smoking, so they call me Young Nicki Chimney
Rappers in they feelings 'cause they feelin' me
Uh, I-I give zero fucks and I got zero chill in me
Kissing me, copped the blue box that say Tiffany
Curry with the shot, just tell 'em to call me Stephanie
Gun pop and I make my gum pop
I'm the queen of rap, young Ariana run pop, uh

[Pre-Chorus: Ariana Grande]
These friends keep talkin' way too much (Way too much)
Say I should give him up (Give him up)
Can't hear them, no, 'cause I…

[Chorus: Ariana Grande]
I've been here all night (Been here all night, baby)
I've been here all day (Been here all night, baby)
And boy (Boy), got me walkin' side to side (Side to side)
I've been here all night (Been here all night, baby)
I've been here all day (Been here all day, baby) (Ooh, baby)
And boy (No), got me walkin' side to side (Side to side) (Yeah-eh, yeah, yeah, yeah)

[Refrain: Nicki Minaj and Ariana Grande]
This the new style with the fresh type of flow (Nah, nah, baby)
Wrist icicle, ride dick bicycle
Come through yo, get you this type of blow
If you wanna Minaj, I got a tricycle (No, eh, hey, eh, eh)"
81,James Bay,Let It Go,"[Verse 1]
From walking home and talking loads
To seeing shows in evening clothes with you
From nervous touch and getting drunk
To staying up and waking up with you

[Pre-Chorus 1]
Now we're sleeping near the edge
Holding something we don't need
All this delusion in our heads
Is gonna bring us to our knees

[Chorus]
So, come on, let it go, just let it be
Why don't you be you, and I'll be me?
Everything that's broke, leave it to the breeze
Why don't you be you, and I'll be me?
And I'll be me

[Verse 2]
From throwing clothes across the floor
To teeth and claws and slamming doors at you
If this is all we're living for
Why are we doing it, doing it, doing it anymore?

[Pre-Chorus 2]
I used to recognize myself
It's funny how reflections change
When we're becoming something else
I think it's time to walk away

[Chorus]
So, come on, let it go, just let it be
Why don't you be you, and I'll be me?
Everything that's broke, leave it to the breeze
Why don't you be you, and I'll be me?
And I'll be me

[Bridge]
Tryna fit your hand inside of mine
When we know it just don't belong
'Cause no force on earth could make it feel right, no, no
Tryna push this problem up the hill
When it's just too heavy to hold
I think now's the time to let it slide

[Breakdown]
So, come on, let it go, just let it be
Why don't you be you, and I'll be me?
Everything that's broke, leave it to the breeze
Let the ashes fall, forget about me

[Outro]
Come on, let it go, just let it be
Why don't you be you, and I'll be me?
And I'll be me
(Ooh, me, you)"
82,The Weeknd,The Hills,"[Intro]
Yeah
Yeah
Yeah

[Verse 1]
Your man on the road, he doin' promo
You said, ""Keep our business on the low-low""
I'm just tryna get you out the friend zone
‘Cause you look even better than the photos
I can't find your house, send me the info
Drivin' through the gated residential
Found out I was comin', sent your friends home
Keep on tryna hide it but your friends know

[Chorus]
I only call you when it's half past five
The only time that I'll be by your side
I only love it when you touch me, not feel me
When I'm fucked up, that's the real me
When I'm fucked up, that's the real me, yeah
I only call you when it's half past five
The only time I'd ever call you mine
I only love it when you touch me, not feel me
When I'm fucked up, that's the real me
When I'm fucked up, that's the real me, babe

[Verse 2]
I'ma let you know and keep it simple
Tryna keep it up don't seem so simple
I just fucked two bitches 'fore I saw you
And you gon' have to do it at my tempo
Always tryna send me off to rehab
Drugs started feelin' like it's decaf
I'm just tryna live life for the moment
And all these motherfuckers want a relapse

[Chorus]
I only call you when it's half past five
The only time that I'll be by your side
I only love it when you touch me, not feel me
When I'm fucked up, that's the real me
When I'm fucked up, that's the real me, yeah
I only call you when it's half past five
The only time I'd ever call you mine
I only love it when you touch me, not feel me
When I'm fucked up, that's the real me
When I'm fucked up, that's the real me, babe

[Bridge]
Hills have eyes, the hills have eyes
Who are you to judge? Who are you to judge?
Hide your lies, girl, hide your lies (Hide your lies, oh, baby)
Only you to trust, only you

[Chorus]
I only call you when it's half past five
The only time that I'll be by your side
I only love it when you touch me, not feel me
When I'm fucked up, that's the real me
When I'm fucked up, that's the real me, yeah
I only call you when it's half past five
The only time I'd ever call you mine
I only love it when you touch me, not feel me
When I'm fucked up, that's the real me
When I'm fucked up, that's the real me, babe

[Outro]
Ewedihalehu
Yene konjo, ewedihalehu
Yene fikir, fikir, fikir, fikir
Yene fikir, fikir, fikir, fikir"
83,Coldplay,Adventure Of A Lifetime,"[Produced by StarGate & Coldplay]

[Intro]
[Indecipherable]

[Verse 1]
Turn your magic on
Umi she'd say
Everything you want's a dream away
And we are legends, every day
That's what she told me

[Refrain]
Turn your magic on, to me she'd say
Everything you want's a dream away
Under this pressure, under this weight
We are diamonds

[Chorus 1]
Now I feel my heart beating
I feel my heart underneath my skin
And I feel my heart beating
Oh, you make me feel
Like I'm alive again
Alive again
Oh, you make me feel
Like I'm alive again

[Verse 2]
Said I can't go on, not in this way
I'm a dream that died by light of day
Gonna hold up half the sky and say
Only I own me

[Chorus 2]
Now I feel my heart beating
I feel my heart underneath my skin
Oh, I can feel my heart beating
Cause you make me feel
Like I'm alive again
Alive again
Oh, you make me feel
Like I'm alive again

[Refrain]
Turn your magic on, Umi she'd say
Everything you want's a dream away
Under this pressure, under this weight
We are diamonds taking shape
We are diamonds taking shape
(Woo, woo)

[Bridge]
If we've only got this life
This adventure, oh then I
And if we've only got this life
You'll get me through
And if we've only got this life
In this adventure, oh then I
Want to share it with you
With you, with you
Yeah I do

[Outro]
(Woo hoo, woo hoo)
(Woo hoo, woo hoo)
(Woo hoo, woo hoo)
(Woo hoo, woo hoo)
(Woo hoo, woo hoo)
(Woo hoo, woo hoo)"
84,Kent Jones,Don't Mind,"[Intro]
Hola, holana

[Pre-Chorus]
Keep telling me this and telling me that
You said once you take me with you, I’ll never go back
Now I got a lesson, that I want to teach
I'ma show you that where you from don’t matter to me

[Chorus]
She said ""Hola, ¿Cómo estás?"", she said ""Konnichiwa""
She said ""Pardon my French"", I said ""Bonjour Madame""
Then she said ""Sak pase"" and I said ""N'ap boule""
No matter where I go, you know I love 'em all
She said ""Hola, ¿Cómo estás?"", she said ""Konnichiwa""
She said ""Pardon my French"", I said ""Bonjour Madame""
Then she said ""Sak pase"" and I said ""N'ap boule""
No matter where I go, you know I love 'em all

[Verse 1]
African American for sho
I told her, ""Baby come and ride the rodeo""
Every time I come around man, I go for broke
She gives me desktop til' I overload
Now baby you gon' go where you pos to go
'Cause I ain't got time for you every day
She said she got a man keep it on the low
I said he don’t speak English, fuck he gon' say (aye)

[Pre-Chorus]
Telling me this and telling me that
You said once you take me with you, I’ll never go back
Now I got a lesson that I want to teach ya
Ima show you that where you from don’t matter to me

[Chorus]
She said ""Hola, ¿Cómo estás?, she said ""Konnichiwa""
She said ""Pardon my French"", I said ""Bonjour Madame""
Then she said ""Sak pase"" and I said ""N'ap boule""
No matter where I go, you know I love 'em all
She said ""Hola, ¿Cómo estás?, she said ""Konnichiwa""
She said ""Pardon my French"", I said ""Bonjour Madame""
Then she said ""Sak pase"" and I said ""N'ap boule""
No matter where I go, you know I love 'em all

[Verse 2]
She from Africa but she fuck me like she Haitian
Ass black, but the eyes looking Asian
I give her the can in Kansas
I got it on tape, she on Candid Camera
Okay see, I forgot we met in Oklahoma
I use to smoke Regina, she from Arizona
Then I met a girl in Cali I never disowned her
She got that high grade, her weed come with diplomas
I want her but she keep

[Pre-Hook]
Telling me this and telling me that
You said once you take me with you, I’ll never go back
Now I got a lesson that I want to teach ya
I'ma show you that where you from don’t matter to me

[Hook]
She said ""Hola, ¿Cómo estás?, she said ""Konnichiwa""
She said ""Pardon my French"", I said ""Bonjour Madame""
Then she said ""Sak pase"" and I said ""N'ap boule""
No matter where I go, you know I love 'em all
She said ""Hola, ¿Cómo estás?, she said ""Konnichiwa""
She said ""Pardon my French"", I said ""Bonjour Madame""
Then she said ""Sak pase"" and I said ""N'ap boule""
No matter where I go, you know I love 'em all
She said ""Hola, ¿Cómo estás?, she said ""Konnichiwa""
She said ""Pardon my French"", I said ""Bonjour Madame""
Then she said ""Sak pase"" and I said ""N'ap boule""
No matter where I go, you know I love 'em all
She said ""Hola, ¿Cómo estás?, she said ""Konnichiwa""
She said ""Pardon my French"", I said ""Bonjour Madame""
Then she said ""Sak pase"" and I said ""N'ap boule""
No matter where I go, you know I love 'em all

[Produced by Kent Jones & We The Best]"
85,Disturbed,The Sound Of Silence,"[Verse 1]
Hello darkness, my old friend
I've come to talk with you again
Because a vision softly creeping
Left its seeds while I was sleeping
And the vision that was planted in my brain
Still remains within the sound of silence

[Verse 2]
In restless dreams I walked alone
Narrow streets of cobblestone
'Neath the halo of a street lamp
I turned my collar to the cold and damp
When my eyes were stabbed by the flash of a neon light
That split the night and touched the sound of silence

[Verse 3]
And in the naked light I saw
Ten thousand people, maybe more
People talking without speaking
People hearing without listening
People writing songs that voices never shared
And no one dared disturb the sound of silence

[Verse 4]
""Fools"", said I, ""You do not know
Silence like a cancer grows
Hear my words that I might teach you
Take my arms that I might reach you""
But my words like silent raindrops fell
And echoed in the wells of silence

[Verse 5]
And the people bowed and prayed
To the neon God they made
And the sign flashed out its warning
In the words that it was forming
And the sign said ""The words of the prophets are written on the subway walls
And tenement halls and whispered in the sound of silence"""
86,Meghan Trainor,No,"[Intro]
I think it's so cute and I think it's so sweet
How you let your friends encourage you to try and talk to me
But let me stop you there, oh, before you speak

[Chorus]
Nah to the ah to the no, no, no
My name is no, my sign is no, my number is no, uh
You need to let it go, uh
You need to let it go, uh
Need to let it go, uh
Nah to the ah to the, no, no, no
My name is no, my sign is no, my number is no
You need to let it go, uh
You need to let it go, uh
Need to let it go, uh
Nah to the ah to the no, no, no

[Verse 1]
First you gonna say you ain't runnin' game
Thinkin' I'm believing every word
Call me beautiful, so original
Telling me I'm not like other girls
I was in my zone before you came along
Now I'm thinking maybe you should go
Blah, blah, blah
I be like nah to the ah to the no, no, no

[Pre-Chorus]
All my ladies, listen up
If that boy ain't giving up
Lick your lips and swing your hips
Girl, all you gotta say is

[Chorus]
My name is no, my sign is no, my number is no, uh
You need to let it go, uh
You need to let it go, uh
Need to let it go, uh
Nah to the ah to the no, no, no
My name is no, my sign is no, my number is no
You need to let it go
You need to let it go
Need to let it go
Nah to the ah to the no, no, no

[Verse 2]
Thank you in advance, I don't wanna dance (Nope)
I don't need your hands all over me (No, no)
If I want a man, then I'ma get a man
But it's never my priority (Hey)
I was in my zone, before you came along
Don't want you to take this personal
Blah, blah, blah
I be like nah to the ah to the no, no, no

[Pre-Chorus]
All my ladies, listen up (All my ladies)
If that boy ain't giving up (Ain’t giving’ up)
Lick your lips and swing your hips (Hey, hey, let's go!)
Girl, all you gotta say is (Ooh)

[Chorus]
My name is no, my sign is no, my number is no, uh
You need to let it go, uh
You need to let it go, uh
Need to let it go, uh
Nah to the ah to the no, no, no
My name is no, my sign is no, my number is no
You need to let it go
You need to let it go
Need to let it go
Nah to the ah to the no, no, no

[Bridge]
I'm feeling
Untouchable, untouchable, uh
I'm feeling
Untouchable, untouchable
I'm feeling
Untouchable, untouchable
I'm feeling
Hey, hey, hey
(Nah to the ah to the no, no, no)
I'm feeling
Untouchable, untouchable (I'm feeling)
I'm feeling
Untouchable, untouchable (Untouchable)
I'm feeling
Untouchable, untouchable
I'm feeling
(Nah to the ah to the no, no, no)

[Pre-Chorus]
All my ladies, listen up (Say, all my ladies)
If that boy ain't giving up (Ain't giving up)
Lick your lips and swing your hips (No, no)
Girl all you gotta say is (No, no)

[Chorus]
My name is no, my sign is no, my number is no
You need to let it go, you need to let it go
Need to let it go
Nah to the ah to the no, no, no
My name is no, my sign is no, my number is no
You need to let it go, you need to let it go
Need to let it go
Nah to the ah to the no, no, no

[Outro]
I'm feeling
Untouchable, untouchable
I'm feeling
Untouchable, untouchable
I'm feeling
Untouchable, untouchable
I'm feeling
Nah to the ah to the no, no, no

[Produced by Ricky Reed]"
87,Kiiara,Gold,"[Produced by Felix Snow]

[Intro]
Roof was on, let me, love me-on-ly s-you know
Roof was on, let me, love me-on-ly s-you know
Roof was on, let me, love me-on-ly s-you know
Roof was on, let me, love me

[Verse 1]
Gold up in my, gold up in my teeth
(Gold up, gold up in my teeth)
Don’t care what you say to me
I'ma bite your feelings out (Gold up in my teeth)
I missed you in the basement
(Gold up in my teeth)
But your brother was a good substitute for you

[Pre-Chorus]
And if you love me, love me, but you never let me go
When the roof was on fire, you never let me know
Say you’re sorry honey, but you never really show
And I could leave the party without ever letting you know
Without ever letting you know

[Chorus]
Roof was on, let me, love me-on-ly s-you know
Roof was on, let me, love me
Without ever letting you know
Roof was on, let me, love me-on-ly s-you know
Roof was on, let me, love me
Without ever letting you know
Roof was on, let me, love me-on-ly s-you know
Roof was on, let me, love me
Without ever letting you know
Roof was on, let me, love me-on-ly s-you know
Without ever letting you know

[Verse 2]
Gold up in my, gold up in my teeth
(Gold up, gold up in my teeth)
Tastes like money when I speak
(Gold up, gold up in my teeth)
And I missed you in the basement
(Yeah, gold up in my teeth)
Bodies on the pavement
(Oh, gold up in my teeth)

[Pre-Chorus]
And if you love me, love me, but you never let me go
When the roof was on fire, you never let me know
Say you’re sorry honey, but you never really show
And I could leave the party without ever letting you know
Without ever letting you know

[Chorus]
Roof was on, let me, love me-on-ly s-you know
Roof was on, let me, love me
Without ever letting you know
Roof was on, let me, love me-on-ly s-you know
Roof was on, let me, love me
Without ever letting you know
Roof was on, let me, love me-on-ly s-you know
Roof was on, let me, love me
Without ever letting you know
Roof was on, let me, love me-on-ly s-you know
Without ever letting you know

[Verse 2; Reprise]
Gold up in my, gold up in my teeth
(Gold up, gold up in my teeth)
Taste like money when I speak
(Gold up, gold up in my teeth)
And I missed you in the basement
(Yeah, gold up in my teeth)
Bodies on the pavement (Oh)

[Pre-Chorus]
And if you love me, love me, but you never let me go
When the roof was on fire, you never let me know
Say you’re sorry honey, but you never really show (Gold up in my teeth)
And I could leave the party without ever letting you know
Without ever letting you know

[Chorus]
Roof was on, let me, love me-on-ly s-you know
Roof was on, let me, love me
Without ever letting you know
Roof was on, let me, love me-on-ly s-you know
Roof was on, let me, love me
Without ever letting you know
Roof was on, let me, love me-on-ly s-you know
Roof was on, let me, love me
Without ever letting you know
Roof was on, let me, love me-on-ly s-you know
Without ever letting you know"
88,Selena Gomez,Hands To Myself,"[Verse 1]
Can't keep my hands to myself
No matter how hard I'm trying to
I want you all to myself
You're metaphorical gin and juice

So come on give me a taste
Of what it’s like to be next to you
Won't let one drop go to waste
You're metaphorical gin and juice

[Pre-Chorus]
Cause all of the downs and the uppers
Keep making love to each other
And I'm trying, trying, I'm trying, trying
All of the downs and the uppers
Keep making love to each other
And I'm trying, trying, I'm trying, but I

[Chorus]
Can't keep my hands to myself
My hands to myself
Can't keep my hands to myself
My hands to myself

[Verse 2]
The doctors say you're no good
But people say what they wanna say
And you should know if I could
I'd breathe you in every single day

[Pre-Chorus]
All of the downs and the uppers
Keep making love to each other
And I'm trying, trying, I'm trying, trying
All of the downs and the uppers
Keep making love to each other
And I'm trying, trying, I'm trying, but I

[Chorus]
Can't keep my hands to myself
My hands to myself
Can't keep my hands to myself
My hands to myself

[Bridge]
Can't keep my hands to myself
I want it all, no, nothing else
Can't keep my hands to myself
Give me your all and nothing else
Oh, I, I want it all
I want it all, I want it all
Can't keep my hands to myself
I mean I could, but why would I want to?

[Chorus]
My hands to myself
Can't keep my hands to myself
My hands to myself
Can't keep my hands to myself
I want it all, no, nothing else
Can't keep my hands to myself
Give me your all and nothing else
Can't keep my hands to myself

[Produced By: Matt Man, Max Martin & Da Robin]
[Written By: Julia Michaels, Justin Tranter, Matt Man, Max Martin & Da Robin]"
89,Martin Garrix & Bebe Rexha,In The Name Of Love,"[Verse 1: Bebe Rexha]
If I told you this was only gonna hurt
If I warned you that the fire's gonna burn
Would you walk in? Would you let me do it first?
Do it all in the name of love
Would you let me lead you even when you're blind?
In the darkness, in the middle of the night
In the silence, when there's no one by your side
Would you call in the name of love?

[Chorus: Bebe Rexha]
In the name of love, name of love
In the name of love, name of love

[Breakdown]
In the name of
Love
In the name, name
Love
In the name, name
Love

[Verse 2: Bebe Rexha]
If I told you we could bathe in all the lights
Would you rise up, come and meet me in the sky?
Would you trust me when you're jumping from the heights?
Would you fall in the name of love?
When there's madness, when there's poison in your head
When the sadness leaves you broken in your bed
I will hold you in the depths of your despair
And it's all in the name of love

[Chorus: Bebe Rexha]
In the name of love, name of love
In the name of love, name of love

[Breakdown]
In the name of
Love
In the name, name
Love
In the name, name
Love

[Bridge: Bebe Rexha]
I wanna testify
Scream in the holy light
You bring me back to life
And it's all in the name of love
I wanna testify
Scream in the holy light
You bring me back to life
And it's all in the name of love

[Chorus: Bebe Rexha]
In the name of love, name of love
In the name of love, name of love

[Breakdown]
In the name of
Love
In the name, name
Love
In the name, name
Love
In the name of
Love
In the name, name
Love
In the name of
Love
In the name of
Love
In the name of
Love"
90,Flume & Kai,Never Be Like You,"[Verse 1: Kai]
What I would do to take away this fear of being loved
Allegiance to the pain
Now I'm fucked up and I'm missing you
He'll never be like you
I would give anything to change this fickle-minded heart
That loves fake shiny things
Now I'm fucked up and I'm missing you
He'll never be like you

[Chorus: Kai]
I'm only human, can't you see? I made, I made a mistake
Please just look me in my face, tell me everything's okay
'Cause I got it, ooh, he'll never be like you
I'm only human, can't you see? I made, I made a mistake
Please just look me in my face, tell me everything's okay
'Cause I got it, ooh, he'll never be like you

[Verse 2: Kai]
How do I make you wanna stay?
Hate sleeping on my own, missing the way you taste
Now I'm fucked up and I'm missing you
He'll never be like you
Stop looking at me with those eyes
Like I could disappear and you wouldn't care why
Now I'm fucked up and I'm missing you
He'll never be like you

[Chorus: Kai]
I'm only human, can't you see? I made, I made a mistake
Please just look me in my face, tell me everything's okay
'Cause I got it, ooh, he'll never be like you
I'm only human, can't you see? I made, I made a mistake
Please just look me in my face, tell me everything's okay
'Cause I got it, ooh, he'll never be like you

[Bridge: Kai]
I'm falling on my knees, forgive me, I'm a fucking fool
I'm begging, darling, please, absolve me of my sins, won't you?
I'm falling on my knees, forgive me, I'm a fucking fool
I'm begging, darling, please, absolve me of my sins, won't you?

[Chorus: Kai]
I'm only human, can't you see? I made, I made a mistake
Please just look me in my face, tell me everything's okay
'Cause I got it, ooh, he'll never be like you
I'm only human, can't you see? I made, I made a mistake
Please just look me in my face, tell me everything's okay
'Cause I got it, ooh, he'll never be like you

[Outro: Kai]
Baby, baby, please believe me
C'mon, take it easy
Please don't ever leave me, ooh
He'll never be like you"
